,clock (s),posX (m),posY (m),posZ (m)
132,426.0,5.900927999999995,27.850592000000017,44.98848
133,427.0,6.482079999999995,27.850592000000017,44.897040000000004
134,428.0,6.795007999999996,27.269440000000017,44.98848
135,429.0,7.107935999999996,26.151840000000018,44.897040000000004
136,430.0,7.510271999999996,25.03424000000002,44.98848
137,431.0,8.002015999999996,23.827232000000016,44.98848
138,432.0,8.404351999999996,22.620224000000015,45.110400000000006
139,433.0,8.896095999999996,21.502624000000015,45.110400000000006
140,434.0,9.387839999999997,20.385024000000016,45.110400000000006
141,435.0,9.790175999999997,19.267424000000016,44.98848
142,436.0,10.192511999999997,18.060416000000018,45.110400000000006
143,437.0,10.594847999999997,16.853408000000016,45.110400000000006
144,438.0,10.997183999999997,15.735808000000016,44.98848
145,439.0,11.488927999999998,14.618208000000017,44.897040000000004
146,440.0,11.980671999999998,13.500608000000017,44.98848
147,441.0,12.383007999999998,12.293600000000017,44.98848
148,442.0,12.874751999999999,11.176000000000018,44.98848
149,443.0,13.187679999999999,10.058400000000018,44.897040000000004
150,444.0,13.590015999999999,8.940800000000019,44.897040000000004
151,445.0,14.08176,7.8232000000000195,44.897040000000004
152,446.0,14.484096,6.70560000000002,44.98848
153,447.0,14.886432,5.49859200000002,44.897040000000004
154,448.0,15.288768,4.38099200000002,45.110400000000006
155,449.0,15.691104,3.1739840000000203,44.98848
156,450.0,16.182848,1.9669760000000203,44.897040000000004
157,451.0,16.674592,0.8493760000000203,45.110400000000006
158,452.0,17.166336,-0.4470399999999797,44.897040000000004
159,453.0,17.568672,-1.6540479999999798,44.98848
160,454.0,17.971007999999998,-2.7716479999999795,44.98848
161,455.0,18.373343999999996,-3.9786559999999795,44.98848
162,456.0,18.775679999999994,-5.096255999999979,44.98848
163,457.0,19.178015999999992,-6.2138559999999785,44.98848
164,458.0,19.490943999999992,-7.420863999999979,44.98848
165,459.0,20.07209599999999,-8.71727999999998,44.98848
166,460.0,20.65324799999999,-9.834879999999979,44.98848
167,461.0,20.96617599999999,-10.952479999999978,45.201840000000004
168,462.0,21.27910399999999,-11.935967999999978,44.98848
169,463.0,21.36851199999999,-12.427711999999978,44.805600000000005
170,464.0,21.59203199999999,-12.651231999999979,45.110400000000006
171,465.0,20.69795199999999,-12.427711999999978,45.110400000000006
172,466.0,19.490943999999992,-12.114783999999979,45.110400000000006
173,467.0,18.19452799999999,-12.025375999999978,44.897040000000004
174,468.0,16.89811199999999,-11.801855999999978,44.897040000000004
175,469.0,15.780511999999991,-11.399519999999978,44.897040000000004
